genre,description,year,ancestor
gamelan mandolin,style of gamelan music,,gamelan
gamelan munggang,ensemble of instruments,,gamelan
gamelan pelog salendo,style of gamelan music,,gamelan
gamelan salendro,style of gamelan music,1000,gamelan
gamelan sekaten,style of gamelan music,,gamelan
gamelan semar pegulingan,style of Balinese gamelan music,,Gamelan Bali
gamelan siteran,style of gamelan music,,gamelan
gamelan surakarta,style of gamelan music,,Javanese gamelan
gammeldansmusikk,umbrella term for Nordic traditional folk dance music; music to dance Gammaldans to,,folk dance
ganga,type of singing that originated from rural Dinaric mountain region,,polyphony
gangar,music genre and type of dance,,folk dance
gangsta rap,genre of rap music,1985,hardcore hip-hop
garage house,subgenre of house music,1983,house music
garage pop,music genre,,rock music
garage psych,music genre,,psychedelic rock
garage punk,music genre,1977,punk rock
garage rock,subgenre of rock and roll music,1960,rock music
garage rock revival,subgenre of garage rock,1978,indie rock
garba,Indian folk dance that originated from the state of Gujarat,,music of India
gaucha music,music genre,,
gauchito,native Argentine dance,,Argentine folklore
gavotte,classical dance music form,,composed musical work
geek rock,genre of rock music,1995,alternative rock
gejog lesung Yogyakarta,music genre,,
gekiban music,"music genre and accompaniment music played in movies, TV dramas, plays and anime",,score
generative improvisation,type of free musical improvisation,1992,free improvisation
genge,music genre,,hip-hop
gengetone,music genre,,genge
genios de Andalucía,Spanish music genre,,
geonjeon gayo,musical propaganda genre promoted by the South Korean government during military dictatorships,,music of South Korea
geza ongaku,music genre,,sound effect
gezang,"song intended to be sung during Netherlands Protestant religious services, excluding songs adapted from the Book of Psalms",,mass
gezi,music genre,,Chinese traditional music
ghazal,"form of poetry in South Asia and the Middle East, whose first and every even-numbered lines rhyme",,strophe
ghetto club,"loose category of electronic music genres, that share characteristics derived from Miami bass and ghetto house music scenes",,electronic dance music
ghetto funk,music genre,,glitch hop (EDM)
ghetto house,sub-genre of house music,1992,house music
ghettotech,genre of electronic music originating from Detroit,1994,ghetto house
ghost dance song,music genre,,a cappella
giddha,folk dance,,Asian folk dance
gigue,type of dance; classical dance music form,,classical dance music
ginans,Muslim Ismaili Nizari religious literature,,Islamic music
girisa,music genre,,tembang tengahan
glam metal,genre of heavy metal music,1979,hard rock
glam music,"music genre, encompassing various styles related to glam rock",,popular music
glam punk,subgenre of punk rock,1975,glam rock
glam rock,"style of rock music that developed in the United Kingdom in the early 1970s performed by musicians who wore outrageous costumes, makeup, and hairstyles, particularly platform shoes and glitter",1969,rock music
glee,English type of part song,,part song
glitch,music genre,1990,glitch art
glitch hop,"electronic genre, characterized by its incorporation of originally IDM-derived production into a hip hop setting",1998,hip-hop
glitch hop (EDM),"electronic dance music genre, form of glitch hop taking heavy influence from trending EDM genres",2007,electronic dance music
glitch pop,music genre,1993,pop music
glitter rock,music genre,,glam rock
go-go,"high-energy subgenre of funk music from Washington, D. C.",1962,funk
golden age hip-hop,"name given to mainstream hip hop music created in the mid/late 1980s and early 1990s, particularly by artists and musicians originating from the New York metropolitan area",,hip-hop
gombhira,music genre,,comedy song
gommance,music genre,,dancehall
gondang,music genre,,Austronesian music
goombay,musical genre,,music of the Caribbean
goregrind,subgenre of grindcore,1988,grindcore
gorenoise,music genre,1996,goregrind
gospel blues,form of blues-based gospel music,1890,blues
gospel gqom,variant of gqom,2020,gqom
gospel house,music genre,1987,house music
gospel hymn,"type of religious song from US church music, especially from the 19th century",,gospel music
gospel music,genre of music emphasizing Christian lyrics,1600,Christian music
gospel reggae,music genre,1968,reggae
gospel trap,Christian hip hop genre with trap beats,,Christian hip-hop
gothabilly,music genre,,gothic music
gothic country,music genre,,alternative country
gothic death-doom,music genre,,death metal
gothic doom metal,music genre,,doom metal
gothic metal,genre of heavy metal music,1990,metal music
gothic music,music genre,,alternative music
gothic punk,music genre,1978,punk rock
gothic rap,rap music genre,,rapping
gothic rock,musical subgenre of post-punk and alternative rock,1979,alternative rock
gothic symphonic rock,music genre,,symphonic rock
gqom,subgenre of house music from South Africa,2012,house music
gqom tech,variant of gqom,,gqom
gqom trap,fusion of gqom and trap music,,gqom
graphical sound,sound recording from images drawn directly onto film or paper,,electronic music
grebo,"short-lived subgenre of alternative rock that incorporated influences from punk rock, electronic dance music, hip hop and psychedelia",1986,alternative dance
grime,"genre of electronic music originating from England, United Kingdom",2001,rapping
grindcore,subgenre of extreme metal,1985,hardcore punk
grindie,form of music that emerged in early 2006. It is a fusion of both indie or alternative and grime music,2006,indie rock
grindviolence,subgenre of grindcore and powerviolence,,grindcore
griot music,music genre,,music of West Africa
groove metal,subgenre of heavy metal,1990,extreme metal
groovy soca,music genre; subgenre of soca,1970,soca music
ground beat,music genre,,
group sounds,genre of Japanese rock music,1967,beat music
grunge,genre of rock music,1985,alternative rock
grunge revival,music genre,,grunge
grungecore,subgenre of grunge,,grunge
grungegaze,music genre,,shoegaze
grupera,musical genre; subgenre of regional Mexican,1970,regional Mexican
guajira,music genre,,music of Cuba
guaracha,Cuban music genre of rapid tempo and comic or picaresque lyrics,2016,music of Cuba
guaracha santiagueña,music genre,,music of Argentina
guarania,musical genre originating in Paraguay,,Hispanic American music
guardia nueva,musical period in which tango reaches the pinnacle of its worldwide diffusion,1917,
guayla,music genre,,Tigrinya music
guitarrada,music genre,,lambada
gumbé,"music genre, a West African style of music found in countries such as Sierra Leone and Guinea-Bissau",1973,zouk
guoyue,music genre,,music of China
gusle music,music genre,,Serbian folk music
gwerz,lament in Breton language,,lamentation
gwo ka,music genre and type of dance,,music of Guadeloupe
għana,traditional Maltese performative art involving sung poetry and music,,European folk music
habanera,music genre and type of dance,1900,dance
halekačky,Czech children's pastoralist songs or yodels,,music of the Czech Republic
halfstep,subgenre of drum and bass,,drum and bass
halftime,"term, used to group drum and bass playing at half its normal pace (up to late 2000s), which evolved into specific music genre with its own sound in the early 2010s",2011,drum and bass
handbell music,genre of music performed using handbells,,instrumental music
hands up,genre of music,2001,Eurotrance
hanmai,music genre,,rapping
haozi,music genre,,work song
hapa haole,music genre,,music of Hawaii
happy hardcore,music genre,1992,hardcore
happy rock,musical movement,2009,rock music
harana,A traditional form of nocturnal courtship music in the Philippines.,,music of the Philippines
harawi,traditional genre of music and poetry of indigenous peoples of the Andes,,Andean music
hard IDM,music genre,,hardcore
hard NRG,hard form of dance music,1994,trance
hard beat,"music genre blending EBM, new beat and acid house",1989,new beat
hard bop,"subgenre of jazz that is an extension of bebop (or ""bop"") music",1955,bebop
hard dance,category of hard-hitting electronic dance genres,1992,electronic dance music
hard drum,"EDM music genre, highly percussive, syncopated rhythms, influences from global contemporary genres, and lack of melodic elements, with a tempo lingering between 130 BPM",2015,electronic dance music
hard house,subgenre of house music,1992,house music
hard renaissance,music genre,,hardcore
hard rock,"genre of rock music often characterized by chordal guitar riffs accompanied by root notes on the bass guitar and ""big"" drums",1967,rock music
hard techno,subgenre of techno music,,techno
hard trance,subgenre of trance music,1992,trance
hard trap,music genre,2012,EDM trap music
hardbag,music genre,1990,diva house
hardbass,Russian musical genre,2001,pumping house
hardcore,genre of electronic dance music,1989,electronic dance music
hardcore breaks,subgenre of breakbeat hardcore fusing modern production with oldschool breaks,2000,breakbeat hardcore
hardcore hip-hop,subgenre of hip-hop,1988,hip-hop
hardcore psycho rap,rap music genre,1995,hip-hop
hardcore punk,aggressive and fast subgenre of punk rock,1978,punk rock
hardcore ragga,music genre,,dancehall
hardgroove techno,"style of techno that emerged in the mid-1990s, known for use of shuffling percussion, often as densely layered polyrhythms, and often involving a combination of sampled percussion and drum machines",1993,techno
